band;album;song;emotion
MUCC;痛絶;盲目であるが故の疎外感;sadness
MUCC;痛絶;盲目であるが故の疎外感;anger
MUCC;痛絶;盲目であるが故の疎外感;hopelessness
MUCC;痛絶;盲目であるが故の疎外感;frustration
MUCC;痛絶;砂の城;sadness
MUCC;痛絶;砂の城;hopelessness
MUCC;痛絶;砂の城;nostalgia
MUCC;痛絶;背徳の人;sadness
MUCC;痛絶;背徳の人;hopelessness
MUCC;痛絶;背徳の人;frustration
MUCC;痛絶;背徳の人;aggression
MUCC;痛絶;鎮痛剤;sadness
MUCC;痛絶;鎮痛剤;fear
MUCC;痛絶;鎮痛剤;frustration
MUCC;痛絶;鎮痛剤;hopelessness
MUCC;脈拍;BILLY×2 〜Entwines ROCK STARS〜;hopelessness
MUCC;脈拍;BILLY×2 〜Entwines ROCK STARS〜;sadness
MUCC;脈拍;BILLY×2 〜Entwines ROCK STARS〜;fear
MUCC;脈拍;BILLY×2 〜Entwines ROCK STARS〜;loneliness
MUCC;脈拍;CLASSIC;sadness
MUCC;脈拍;CLASSIC;nostalgia
MUCC;脈拍;CLASSIC;frustration
MUCC;脈拍;CLASSIC;hopelessness
MUCC;脈拍;EMP;sadness
MUCC;脈拍;EMP;frustration
MUCC;脈拍;EMP;hopelessness
MUCC;脈拍;EMP;aggression
MUCC;葬ラ謳;およげ! たいやきくん;sadness
MUCC;葬ラ謳;およげ! たいやきくん;frustration
MUCC;葬ラ謳;およげ! たいやきくん;fear
MUCC;葬ラ謳;スイミン;sadness
MUCC;葬ラ謳;スイミン;hopelessness
MUCC;葬ラ謳;スイミン;anger
MUCC;葬ラ謳;スイミン;aggression
MUCC;葬ラ謳;スイミン;fear
MUCC;葬ラ謳;ズタズタ;sadness
MUCC;葬ラ謳;ズタズタ;frustration
MUCC;葬ラ謳;ズタズタ;hopelessness
MUCC;葬ラ謳;ズタズタ;aggression
MUCC;葬ラ謳;ママ;sadness
MUCC;葬ラ謳;ママ;hopelessness
MUCC;葬ラ謳;ママ;fear
MUCC;葬ラ謳;ママ;aggression
MUCC;葬ラ謳;世界の終わり;anger
MUCC;葬ラ謳;世界の終わり;sadness
MUCC;葬ラ謳;世界の終わり;frustration
MUCC;葬ラ謳;世界の終わり;hopelessness
MUCC;葬ラ謳;世界の終わり;aggression
MUCC;葬ラ謳;前へ;sadness
MUCC;葬ラ謳;前へ;hopelessness
MUCC;葬ラ謳;前へ;frustration
MUCC;葬ラ謳;君に幸あれ;sadness
MUCC;葬ラ謳;君に幸あれ;hopelessness
MUCC;葬ラ謳;君に幸あれ;anger
MUCC;葬ラ謳;君に幸あれ;frustration
MUCC;葬ラ謳;嘘で歪む心臓;sadness
MUCC;葬ラ謳;嘘で歪む心臓;hopelessness
MUCC;葬ラ謳;嘘で歪む心臓;fear
MUCC;葬ラ謳;嘘で歪む心臓;aggression
MUCC;葬ラ謳;夢の街;sadness
MUCC;葬ラ謳;夢の街;frustration
MUCC;葬ラ謳;夢の街;hopelessness
MUCC;葬ラ謳;帰らぬ人;sadness
MUCC;葬ラ謳;帰らぬ人;hopelessness
MUCC;葬ラ謳;帰らぬ人;loneliness
MUCC;葬ラ謳;幸せの終着;sadness
MUCC;葬ラ謳;幸せの終着;hopelessness
MUCC;葬ラ謳;幸せの終着;frustration
MUCC;葬ラ謳;暗闇に咲く花;sadness
MUCC;葬ラ謳;暗闇に咲く花;frustration
MUCC;葬ラ謳;暗闇に咲く花;hopelessness
MUCC;葬ラ謳;絶望;sadness
MUCC;葬ラ謳;絶望;hopelessness
MUCC;葬ラ謳;絶望;aggression
MUCC;葬ラ謳;絶望;frustration
MUCC;葬ラ謳;黒煙;sadness
MUCC;葬ラ謳;黒煙;fear
MUCC;葬ラ謳;黒煙;hopelessness
MUCC;葬ラ謳;黒煙;anger
MUCC;鵬翼;サル;frustration
MUCC;鵬翼;サル;hopelessness
MUCC;鵬翼;サル;aggression
MUCC;鵬翼;サル;irony
MUCC;鵬翼;優しい記憶;sadness
MUCC;鵬翼;優しい記憶;hopelessness
MUCC;鵬翼;優しい記憶;fear
MUCC;鵬翼;優しい記憶;despair
MUCC;鵬翼;遮断;sadness
MUCC;鵬翼;遮断;hopelessness
MUCC;鵬翼;遮断;fear
MxPx;Before Everything & After;Before;joy
MxPx;Before Everything & After;Before;confidence
MxPx;Before Everything & After;Brokenhearted;sadness
MxPx;Before Everything & After;Brokenhearted;anger
MxPx;Before Everything & After;Brokenhearted;frustration
MxPx;Before Everything & After;Brokenhearted;hopelessness
MxPx;Before Everything & After;Don't Walk Away;fear
MxPx;Before Everything & After;Don't Walk Away;sadness
MxPx;Before Everything & After;Don't Walk Away;hopelessness
MxPx;Before Everything & After;First Day Of The Rest Of Our Lives;sadness
MxPx;Before Everything & After;First Day Of The Rest Of Our Lives;hopelessness
MxPx;Before Everything & After;First Day Of The Rest Of Our Lives;frustration
MxPx;Before Everything & After;It's Alright;hopelessness
MxPx;Before Everything & After;It's Alright;confidence
MxPx;Before Everything & After;It's Alright;nostalgia
MxPx;Before Everything & After;Kings Of Hollywood;joy
MxPx;Before Everything & After;Kings Of Hollywood;nostalgia
MxPx;Before Everything & After;Kings Of Hollywood;confidence
MxPx;Before Everything & After;More Everything;sadness
MxPx;Before Everything & After;More Everything;hopelessness
MxPx;Before Everything & After;More Everything;confidence
MxPx;Before Everything & After;On The Outs;sadness
MxPx;Before Everything & After;On The Outs;frustration
MxPx;Before Everything & After;On The Outs;hopelessness
MxPx;Before Everything & After;Play It Loud;confidence
MxPx;Before Everything & After;Play It Loud;joy
MxPx;Before Everything & After;Quit Your Life;joy
MxPx;Before Everything & After;Quit Your Life;confidence
MxPx;Before Everything & After;The Capitol;confidence
MxPx;Before Everything & After;The Capitol;hopelessness
MxPx;Before Everything & After;The Capitol;frustration
MxPx;Before Everything & After;Well Adjusted;anger
MxPx;Before Everything & After;Well Adjusted;frustration
MxPx;Before Everything & After;Well Adjusted;hopelessness
MxPx;Before Everything & After;You're Not Alone;hopelessness
MxPx;Before Everything & After;You're Not Alone;confidence
MxPx;Before Everything & After;You're Not Alone;nostalgia
MxPx;Before Everything & After;You Make Me, Me;joy
MxPx;Before Everything & After;You Make Me, Me;confidence
MxPx;Find a Way Home;Call Me;sadness
MxPx;Find a Way Home;Call Me;nostalgia
MxPx;Find a Way Home;Call Me;hopelessness
MxPx;Find a Way Home;Call Me;fear
MxPx;Find a Way Home;Cautious Optimistic;fear
MxPx;Find a Way Home;Cautious Optimistic;frustration
MxPx;Find a Way Home;Cautious Optimistic;hopelessness
MxPx;Find a Way Home;Excuse My French;anxiety
MxPx;Find a Way Home;Excuse My French;sadness
MxPx;Find a Way Home;Excuse My French;frustration
MxPx;Find a Way Home;Mistakes Will Be Made;sadness
MxPx;Find a Way Home;Mistakes Will Be Made;frustration
MxPx;Find a Way Home;Mistakes Will Be Made;hopelessness
MxPx;Find a Way Home;Mistakes Will Be Made;confidence
MxPx;Find a Way Home;Mountains to Climb;hopefulness
MxPx;Find a Way Home;Mountains to Climb;confidence
MxPx;Find a Way Home;Mountains to Climb;determination
MxPx;Find a Way Home;Not Today;sadness
MxPx;Find a Way Home;Not Today;hopelessness
MxPx;Find a Way Home;Not Today;confidence
MxPx;Find a Way Home;Ready to Rage;anger
MxPx;Find a Way Home;Ready to Rage;frustration
MxPx;Find a Way Home;Ready to Rage;fear
MxPx;Find a Way Home;Stay Up All Night;sadness
MxPx;Find a Way Home;Stay Up All Night;hopelessness
MxPx;Find a Way Home;Stay Up All Night;frustration
MxPx;Find a Way Home;Stay Up All Night;confidence
MxPx;Find a Way Home;This Is What You Told Me;hopefulness
MxPx;Find a Way Home;This Is What You Told Me;confidence
MxPx;Find a Way Home;This Is What You Told Me;nostalgia
MxPx;Find a Way Home;Undone;sadness
MxPx;Find a Way Home;Undone;frustration
MxPx;Find a Way Home;Undone;fear
MxPx;Find a Way Home;Undone;hopelessness
MxPx;Find a Way Home;What I Tell Myself;anger
MxPx;Find a Way Home;What I Tell Myself;fear
MxPx;Find a Way Home;What I Tell Myself;frustration
MxPx;Find a Way Home;What I Tell Myself;hopelessness
MxPx;Find a Way Home;When We Broke Through;sadness
MxPx;Find a Way Home;When We Broke Through;frustration
MxPx;Find a Way Home;When We Broke Through;hopelessness
MxPx;Find a Way Home;When We Broke Through;nostalgia
MxPx;I Like Orange Station Wagons;Algea;sadness
MxPx;I Like Orange Station Wagons;Algea;frustration
MxPx;I Like Orange Station Wagons;Algea;hopelessness
MxPx;I Like Orange Station Wagons;Blind;sadness
MxPx;I Like Orange Station Wagons;Blind;hopelessness
MxPx;I Like Orange Station Wagons;Blind;frustration
MxPx;I Like Orange Station Wagons;Blind;nostalgia
MxPx;I Like Orange Station Wagons;Circuit;frustration
MxPx;I Like Orange Station Wagons;Circuit;anger
MxPx;I Like Orange Station Wagons;Circuit;hopelessness
MxPx;I Like Orange Station Wagons;Come Around;joy
MxPx;I Like Orange Station Wagons;Come Around;hopelessness
MxPx;I Like Orange Station Wagons;Come Around;confidence
MxPx;I Like Orange Station Wagons;Enmity;nostalgia
MxPx;I Like Orange Station Wagons;Enmity;sadness
MxPx;I Like Orange Station Wagons;Enmity;confidence
MxPx;I Like Orange Station Wagons;Kling;joy
MxPx;I Like Orange Station Wagons;Kling;nostalgia
MxPx;I Like Orange Station Wagons;Kling;confidence
MxPx;I Like Orange Station Wagons;Low Point;sadness
MxPx;I Like Orange Station Wagons;Low Point;hopelessness
MxPx;I Like Orange Station Wagons;Low Point;frustration
MxPx;I Like Orange Station Wagons;Low Point;confidence
MxPx;I Like Orange Station Wagons;My Broken Machine;sadness
MxPx;I Like Orange Station Wagons;My Broken Machine;fear
MxPx;I Like Orange Station Wagons;My Broken Machine;frustration
MxPx;I Like Orange Station Wagons;One Way Window;frustration
MxPx;I Like Orange Station Wagons;One Way Window;hopelessness
MxPx;I Like Orange Station Wagons;Skeptic;frustration
MxPx;I Like Orange Station Wagons;Skeptic;anger
MxPx;I Like Orange Station Wagons;Skeptic;hopelessness
MxPx;I Like Orange Station Wagons;Stones Throw;joy
MxPx;I Like Orange Station Wagons;Stones Throw;nostalgia
MxPx;I Like Orange Station Wagons;Stones Throw;confidence
MxPx;I Like Orange Station Wagons;Talking to Myself;anger
MxPx;I Like Orange Station Wagons;Talking to Myself;sadness
MxPx;I Like Orange Station Wagons;Talking to Myself;hopelessness
MxPx;I Like Orange Station Wagons;Talking to Myself;frustration
MxPx;I Like Orange Station Wagons;Talking to Myself;aggression
MxPx;I Like Orange Station Wagons;Talking to Myself;fear
MxPx;Life in General;Andrea;joy
MxPx;Life in General;Andrea;confidence
MxPx;Life in General;Chick Magnet;joy
MxPx;Life in General;Chick Magnet;confidence
MxPx;Life in General;Christalena;sadness
MxPx;Life in General;Christalena;frustration
MxPx;Life in General;Correct Me If I’m Wrong;sadness
MxPx;Life in General;Correct Me If I’m Wrong;hopelessness
MxPx;Life in General;Correct Me If I’m Wrong;confidence
MxPx;Life in General;Correct Me If I’m Wrong;irony
MxPx;Life in General;Destroyed by You;sadness
MxPx;Life in General;Destroyed by You;frustration
MxPx;Life in General;Destroyed by You;hopelessness
MxPx;Life in General;Do Your Feet Hurt;anxiety
MxPx;Life in General;Do Your Feet Hurt;frustration
MxPx;Life in General;Do Your Feet Hurt;hopelessness
MxPx;Life in General;Doing Time;confidence
MxPx;Life in General;Doing Time;nostalgia
MxPx;Life in General;Doing Time;joy
MxPx;Life in General;Middlename;sadness
MxPx;Life in General;Middlename;frustration
MxPx;Life in General;Middlename;anger
MxPx;Life in General;Move to Bremerton (Critter version);hopelessness
MxPx;Life in General;Move to Bremerton (Critter version);confidence
MxPx;Life in General;Move to Bremerton (Critter version);joy
MxPx;Life in General;My Mom Still Cleans My Room;frustration
MxPx;Life in General;My Mom Still Cleans My Room;sadness
MxPx;Life in General;My Mom Still Cleans My Room;hopelessness
MxPx;Life in General;New York to Nowhere;frustration
MxPx;Life in General;New York to Nowhere;hopelessness
MxPx;Life in General;Sometimes You Have to Ask Yourself;anger
MxPx;Life in General;Sometimes You Have to Ask Yourself;frustration
MxPx;Life in General;Sometimes You Have to Ask Yourself;confidence
MxPx;Life in General;Sometimes You Have to Ask Yourself;irony
MxPx;Life in General;Sorry So Sorry;sadness
MxPx;Life in General;Sorry So Sorry;guilt
MxPx;Life in General;Sorry So Sorry;regret
MxPx;Life in General;Sorry So Sorry;hope
MxPx;Life in General;Southbound;nostalgia
MxPx;Life in General;Southbound;joy
MxPx;Life in General;Southbound;confidence
MxPx;Life in General;The Wonder Years;frustration
MxPx;Life in General;The Wonder Years;confusion
MxPx;Life in General;The Wonder Years;hopelessness
MxPx;Life in General;Today Is in My Way;sadness
MxPx;Life in General;Today Is in My Way;frustration
MxPx;Life in General;Your Problem My Emergency;anger
MxPx;Life in General;Your Problem My Emergency;frustration
MxPx;Life in General;Your Problem My Emergency;irony
MxPx;Life in General 1996–2016;Andrea;nostalgia
MxPx;Life in General 1996–2016;Andrea;joy
MxPx;Life in General 1996–2016;Andrea;hopefulness
MxPx;Life in General 1996–2016;Chick Magnet;frustration
MxPx;Life in General 1996–2016;Chick Magnet;irony
MxPx;Life in General 1996–2016;Chick Magnet;sarcasm
MxPx;Life in General 1996–2016;Correct Me If I'm Wrong;sadness
MxPx;Life in General 1996–2016;Correct Me If I'm Wrong;frustration
MxPx;Life in General 1996–2016;Correct Me If I'm Wrong;anger
MxPx;Life in General 1996–2016;Cristalena;sadness
MxPx;Life in General 1996–2016;Cristalena;hopelessness
MxPx;Life in General 1996–2016;Cristalena;joy
MxPx;Life in General 1996–2016;Destroyed by You;sadness
MxPx;Life in General 1996–2016;Destroyed by You;frustration
MxPx;Life in General 1996–2016;Destroyed by You;hopelessness
MxPx;Life in General 1996–2016;Destroyed by You;confusion
MxPx;Life in General 1996–2016;Do Your Feet Hurt;anxiety
MxPx;Life in General 1996–2016;Do Your Feet Hurt;frustration
MxPx;Life in General 1996–2016;Do Your Feet Hurt;confidence
MxPx;Life in General 1996–2016;Do Your Feet Hurt;hopelessness
MxPx;Life in General 1996–2016;Doing Time;confidence
MxPx;Life in General 1996–2016;Doing Time;nostalgia
MxPx;Life in General 1996–2016;Doing Time;frustration
MxPx;Life in General 1996–2016;Middlename;sadness
MxPx;Life in General 1996–2016;Middlename;frustration
MxPx;Life in General 1996–2016;Middlename;anger
MxPx;Life in General 1996–2016;Move to Bremerton;hopelessness
MxPx;Life in General 1996–2016;Move to Bremerton;confidence
MxPx;Life in General 1996–2016;Move to Bremerton;joy
MxPx;Life in General 1996–2016;My Mom Still Cleans My Room;frustration
MxPx;Life in General 1996–2016;My Mom Still Cleans My Room;sadness
MxPx;Life in General 1996–2016;My Mom Still Cleans My Room;hopelessness
MxPx;Life in General 1996–2016;My Mom Still Cleans My Room;irony
MxPx;Life in General 1996–2016;New York to Nowhere;frustration
MxPx;Life in General 1996–2016;New York to Nowhere;hopelessness
MxPx;Life in General 1996–2016;New York to Nowhere;alienation
MxPx;Life in General 1996–2016;Sometimes You Have to Ask Yourself;frustration
MxPx;Life in General 1996–2016;Sometimes You Have to Ask Yourself;hopelessness
MxPx;Life in General 1996–2016;Sometimes You Have to Ask Yourself;confidence
MxPx;Life in General 1996–2016;Sorry So Sorry;sadness
MxPx;Life in General 1996–2016;Sorry So Sorry;regret
MxPx;Life in General 1996–2016;Sorry So Sorry;determination
MxPx;Life in General 1996–2016;Southbound;confidence
MxPx;Life in General 1996–2016;Southbound;nostalgia
MxPx;Life in General 1996–2016;Southbound;joy
MxPx;Life in General 1996–2016;The Wonder Years;frustration
MxPx;Life in General 1996–2016;The Wonder Years;hopelessness
MxPx;Life in General 1996–2016;The Wonder Years;nostalgia
MxPx;Life in General 1996–2016;Today Is in My Way;sadness
MxPx;Life in General 1996–2016;Today Is in My Way;frustration
MxPx;Life in General 1996–2016;Today Is in My Way;hopelessness
MxPx;Life in General 1996–2016;Your Problem My Emergency;anger
MxPx;Life in General 1996–2016;Your Problem My Emergency;frustration
MxPx;Life in General 1996–2016;Your Problem My Emergency;irony
MxPx;Magnified Plaid;A Thought;frustration
MxPx;Magnified Plaid;A Thought;fear
MxPx;Magnified Plaid;A Thought;hopelessness
MxPx;Magnified Plaid;Brick Wall;anger
MxPx;Magnified Plaid;Brick Wall;frustration
MxPx;Magnified Plaid;Brick Wall;hopelessness
MxPx;Magnified Plaid;Brick Wall;confidence
MxPx;Magnified Plaid;Brick Wall;irony
MxPx;Magnified Plaid;Ditch;sadness
MxPx;Magnified Plaid;Ditch;fear
MxPx;Magnified Plaid;Ditch;frustration
MxPx;Magnified Plaid;Ditch;hopelessness
MxPx;Magnified Plaid;Ditch;aggression
MxPx;Magnified Plaid;Look At You;frustration
MxPx;Magnified Plaid;Look At You;hopelessness
MxPx;Magnified Plaid;Look At You;anger
MxPx;Magnified Plaid;People Mover;anger
MxPx;Magnified Plaid;People Mover;frustration
MxPx;Magnified Plaid;People Mover;aggression
MxPx;Magnified Plaid;Spinning;joy
MxPx;Magnified Plaid;Spinning;confidence
MxPx;Magnified Plaid;Spinning;hopelessness
MxPx;Magnified Plaid;What Makes Anything;anger
MxPx;Magnified Plaid;What Makes Anything;frustration
MxPx;Magnified Plaid;What Makes Anything;confidence
MxPx;MxPx;20/20 Hindsight;fear
MxPx;MxPx;20/20 Hindsight;frustration
MxPx;MxPx;20/20 Hindsight;hopelessness
MxPx;MxPx;All of It;confidence
MxPx;MxPx;All of It;hopefulness
MxPx;MxPx;All of It (acoustic);love
MxPx;MxPx;All of It (acoustic);hope
MxPx;MxPx;All of It (acoustic);devotion
MxPx;MxPx;Best Life;joy
MxPx;MxPx;Best Life;nostalgia
MxPx;MxPx;Best Life;confidence
MxPx;MxPx;Disaster;sadness
MxPx;MxPx;Disaster;hopelessness
MxPx;MxPx;Disaster;nostalgia
MxPx;MxPx;Disaster;anger
MxPx;MxPx;Forget It All;frustration
MxPx;MxPx;Forget It All;hopelessness
MxPx;MxPx;Forget It All;confidence
MxPx;MxPx;Friday Tonight;joy
MxPx;MxPx;Friday Tonight;confidence
MxPx;MxPx;Let’s Ride;nostalgia
MxPx;MxPx;Let’s Ride;hopelessness
MxPx;MxPx;Let’s Ride;confidence
MxPx;MxPx;Let’s Ride (acoustic);hopelessness
MxPx;MxPx;Let’s Ride (acoustic);confidence
MxPx;MxPx;Let’s Ride (acoustic);nostalgia
MxPx;MxPx;Life Goals;anger
MxPx;MxPx;Life Goals;frustration
MxPx;MxPx;Life Goals;hopelessness
MxPx;MxPx;Moments Like This;nostalgia
MxPx;MxPx;Moments Like This;joy
MxPx;MxPx;Moments Like This;hopelessness
MxPx;MxPx;Moments Like This (acoustic);sadness
MxPx;MxPx;Moments Like This (acoustic);nostalgia
MxPx;MxPx;Moments Like This (acoustic);frustration
MxPx;MxPx;Pipe Dreams;frustration
MxPx;MxPx;Pipe Dreams;hopelessness
MxPx;MxPx;Pipe Dreams;fear
MxPx;MxPx;Rolling Strong;joy
MxPx;MxPx;Rolling Strong;confidence
MxPx;MxPx;Rolling Strong;frustration
MxPx;MxPx;That’s Life;sadness
MxPx;MxPx;That’s Life;frustration
MxPx;MxPx;That’s Life;nostalgia
MxPx;MxPx;That’s Life;hopelessness
MxPx;MxPx;The Band Plays as We All Go Down;sadness
MxPx;MxPx;The Band Plays as We All Go Down;frustration
MxPx;MxPx;The Band Plays as We All Go Down;hopelessness
MxPx;MxPx;The Band Plays as We All Go Down;aggression
MxPx;MxPx;The Way We Do;nostalgia
MxPx;MxPx;The Way We Do;joy
MxPx;MxPx;The Way We Do;confidence
MxPx;MxPx;The Way We Do;hopelessness
MxPx;MxPx;Uptown Streets;nostalgia
MxPx;MxPx;Uptown Streets;confidence
MxPx;On the Cover II;(I’m Gonna Be) 500 Miles;love
MxPx;On the Cover II;(I’m Gonna Be) 500 Miles;sadness
MxPx;On the Cover II;(I’m Gonna Be) 500 Miles;hopelessness
MxPx;On the Cover II;Fallen Angel;sadness
MxPx;On the Cover II;Fallen Angel;frustration
MxPx;On the Cover II;Fallen Angel;hopelessness
MxPx;On the Cover II;Heaven Is a Place on Earth;joy
MxPx;On the Cover II;Heaven Is a Place on Earth;hopefulness
MxPx;On the Cover II;I Will Follow;sadness
MxPx;On the Cover II;I Will Follow;hopelessness
MxPx;On the Cover II;I Will Follow;fear
MxPx;On the Cover II;Kids in America;alienation
MxPx;On the Cover II;Kids in America;frustration
MxPx;On the Cover II;Kids in America;confidence
MxPx;On the Cover II;Kids in America;nostalgia
MxPx;On the Cover II;Linda Linda;sadness
MxPx;On the Cover II;Linda Linda;hopelessness
MxPx;On the Cover II;Linda Linda;confidence
MxPx;On the Cover II;My Brain Is Hanging Upside Down (Bonzo Goes to Bitburg);anger
MxPx;On the Cover II;My Brain Is Hanging Upside Down (Bonzo Goes to Bitburg);frustration
MxPx;On the Cover II;My Brain Is Hanging Upside Down (Bonzo Goes to Bitburg);hopelessness
MxPx;On the Cover II;My Brain Is Hanging Upside Down (Bonzo Goes to Bitburg);irony
MxPx;On the Cover II;Punk Rock Girl;joy
MxPx;On the Cover II;Punk Rock Girl;frustration
MxPx;On the Cover II;Punk Rock Girl;confidence
MxPx;On the Cover II;Should I Stay or Should I Go;frustration
MxPx;On the Cover II;Should I Stay or Should I Go;confusion
MxPx;On the Cover II;Should I Stay or Should I Go;longing
MxPx;On the Cover II;Somebody to Love;sadness
MxPx;On the Cover II;Somebody to Love;frustration
MxPx;On the Cover II;Somebody to Love;hopelessness
MxPx;On the Cover II;Suburban Home;irony
MxPx;On the Cover II;Suburban Home;frustration
MxPx;On the Cover II;Suburban Home;sadness
MxPx;On the Cover II;Vacation;sadness
MxPx;On the Cover II;Vacation;frustration
MxPx;On the Cover II;Vacation;hopelessness
MxPx;Panic;Call In Sick;frustration
MxPx;Panic;Call In Sick;hopelessness
MxPx;Panic;Call In Sick;joy
MxPx;Panic;Cold Streets;sadness
MxPx;Panic;Cold Streets;hopelessness
MxPx;Panic;Cold Streets;frustration
MxPx;Panic;Emotional Anarchist;anger
MxPx;Panic;Emotional Anarchist;frustration
MxPx;Panic;Get Me Out;fear
MxPx;Panic;Get Me Out;frustration
MxPx;Panic;Get Me Out;aggression
MxPx;Panic;Grey Skies Turn Blue;sadness
MxPx;Panic;Grey Skies Turn Blue;frustration
MxPx;Panic;Grey Skies Turn Blue;hopelessness
MxPx;Panic;Heard That Sound;sadness
MxPx;Panic;Heard That Sound;frustration
MxPx;Panic;Heard That Sound;hopelessness
MxPx;Panic;Kicking and Screaming;anger
MxPx;Panic;Kicking and Screaming;frustration
MxPx;Panic;Kicking and Screaming;aggression
MxPx;Panic;Late Again;sadness
MxPx;Panic;Late Again;frustration
MxPx;Panic;Late Again;hopelessness
MxPx;Panic;Late Again;irony
MxPx;Panic;The Darkest Places;anger
MxPx;Panic;The Darkest Places;frustration
MxPx;Panic;The Darkest Places;aggression
MxPx;Panic;The Story;sadness
MxPx;Panic;The Story;hopelessness
MxPx;Panic;The Story;frustration
MxPx;Panic;This Weekend;joy
MxPx;Panic;This Weekend;confidence
MxPx;Panic;This Weekend;hopelessness
MxPx;Panic;Waiting for the World to End;fear
MxPx;Panic;Waiting for the World to End;hopelessness
MxPx;Panic;Waiting for the World to End;sadness
MxPx;Panic;Wrecking Hotel Rooms;sadness
MxPx;Panic;Wrecking Hotel Rooms;loneliness
MxPx;Panic;Wrecking Hotel Rooms;frustration
MxPx;Panic;Young and Depressed;sadness
MxPx;Panic;Young and Depressed;frustration
MxPx;Panic;Young and Depressed;hopelessness
MxPx;Plans Within Plans;Aces Up;frustration
MxPx;Plans Within Plans;Aces Up;hopelessness
MxPx;Plans Within Plans;Aces Up;confidence
MxPx;Plans Within Plans;Best of Times;nostalgia
MxPx;Plans Within Plans;Best of Times;hopelessness
MxPx;Plans Within Plans;Best of Times;confidence
MxPx;Plans Within Plans;Cast Down My Heart;sadness
MxPx;Plans Within Plans;Cast Down My Heart;frustration
MxPx;Plans Within Plans;Cast Down My Heart;hopelessness
MxPx;Plans Within Plans;Far Away;fear
MxPx;Plans Within Plans;Far Away;hopelessness
MxPx;Plans Within Plans;Far Away;hope
MxPx;Plans Within Plans;Far Away;determination
MxPx;Plans Within Plans;In the Past;sadness
MxPx;Plans Within Plans;In the Past;hopelessness
MxPx;Plans Within Plans;In the Past;frustration
MxPx;Plans Within Plans;Inside Out;frustration
MxPx;Plans Within Plans;Inside Out;hopelessness
MxPx;Plans Within Plans;Inside Out;sadness
MxPx;Plans Within Plans;Lucky Guy;confidence
MxPx;Plans Within Plans;Lucky Guy;frustration
MxPx;Plans Within Plans;Nothing Left;sadness
MxPx;Plans Within Plans;Nothing Left;frustration
MxPx;Plans Within Plans;Nothing Left;hopelessness
MxPx;Plans Within Plans;Nothing’s Gonna Change;frustration
MxPx;Plans Within Plans;Nothing’s Gonna Change;hopelessness
MxPx;Plans Within Plans;Nothing’s Gonna Change;confidence
MxPx;Plans Within Plans;Screw Loose;anger
MxPx;Plans Within Plans;Screw Loose;frustration
MxPx;Plans Within Plans;Screw Loose;hopelessness
MxPx;Plans Within Plans;Stay on Your Feet;hope
MxPx;Plans Within Plans;Stay on Your Feet;determination
MxPx;Plans Within Plans;Stay on Your Feet;resilience
MxPx;Plans Within Plans;The Times;frustration
MxPx;Plans Within Plans;The Times;confidence
MxPx;Plans Within Plans;The Times;hopelessness
MxPx;Plans Within Plans;When It Comes to You;sadness
MxPx;Plans Within Plans;When It Comes to You;frustration
MxPx;Plans Within Plans;When It Comes to You;hopelessness
MxPx;Pokinatcha;Another Song About T.V.;frustration
MxPx;Pokinatcha;Another Song About T.V.;anger
MxPx;Pokinatcha;Anywhere but Here;sadness
MxPx;Pokinatcha;Anywhere but Here;frustration
MxPx;Pokinatcha;Anywhere but Here;hopelessness
MxPx;Pokinatcha;Anywhere but Here;anger
MxPx;Pokinatcha;Bad Hair Day;frustration
MxPx;Pokinatcha;Bad Hair Day;irony
MxPx;Pokinatcha;Bad Hair Day;sarcasm
MxPx;Pokinatcha;Dead End;frustration
MxPx;Pokinatcha;Dead End;hopelessness
MxPx;Pokinatcha;Ears to Hear;sadness
MxPx;Pokinatcha;Ears to Hear;frustration
MxPx;Pokinatcha;Ears to Hear;hopelessness
MxPx;Pokinatcha;High Standards;anger
MxPx;Pokinatcha;High Standards;frustration
MxPx;Pokinatcha;High Standards;hopelessness
MxPx;Pokinatcha;Jars of Clay;hopelessness
MxPx;Pokinatcha;Jars of Clay;confidence
MxPx;Pokinatcha;Jay Jay’s Song;anger
MxPx;Pokinatcha;Jay Jay’s Song;frustration
MxPx;Pokinatcha;Jay Jay’s Song;hopelessness
MxPx;Pokinatcha;No Room;frustration
MxPx;Pokinatcha;No Room;sadness
MxPx;Pokinatcha;No Room;fear
MxPx;Pokinatcha;One Way Window;sadness
MxPx;Pokinatcha;One Way Window;frustration
MxPx;Pokinatcha;One Way Window;hopelessness
MxPx;Pokinatcha;PxPx;anger
MxPx;Pokinatcha;PxPx;confidence
MxPx;Pokinatcha;PxPx;aggression
MxPx;Pokinatcha;Realize;anger
MxPx;Pokinatcha;Realize;sadness
MxPx;Pokinatcha;Realize;frustration
MxPx;Pokinatcha;The Aspect;frustration
MxPx;Pokinatcha;The Aspect;hopelessness
MxPx;Pokinatcha;The Aspect;confidence
MxPx;Pokinatcha;Think Twice;frustration
MxPx;Pokinatcha;Think Twice;sadness
MxPx;Pokinatcha;Think Twice;anger
MxPx;Pokinatcha;Time Brings Change;sadness
MxPx;Pokinatcha;Time Brings Change;frustration
MxPx;Pokinatcha;Time Brings Change;hopelessness
MxPx;Pokinatcha;Too Much Thinking;anxiety
MxPx;Pokinatcha;Too Much Thinking;fear
MxPx;Pokinatcha;Too Much Thinking;hopelessness
